Room,Day,Time,Lights_W,Fan_W,Laptop_W,Heater_W,Total_Energy_W
1,1,1,14.421503243702215,92.99628576478099,13.16426405789592,462.11419621629636,582.6962492826755
1,1,2,8.184624319532498,91.29893421910049,9.74002393744829,469.8961736831989,579.1197561592802
1,1,3,9.82222857589289,66.13415677141177,8.265439861683317,436.13996835476223,520.3617935637502
1,1,4,6.682700193536038,77.35056317268968,10.608562243128539,470.3996161511875,565.0414417605417
1,1,5,10.333724477281034,88.43330151804619,18.64190349177029,501.35595534154095,618.7648848286385
1,1,6,14.750312589952149,154.63722289900952,17.725957355766568,424.2767402717674,611.3902331164957
1,1,7,23.51469726477307,135.9527437609965,4.167884581015418,122.9340341034538,286.5693597102388
1,1,8,30.454263813306937,164.3583570773069,9.127747097903335,90.4710029919705,294.4113709804876
1,1,9,25.732904313161153,154.7551317233659,12.917355391022337,132.55558314461504,325.96097457216445
1,1,10,16.79916402207891,149.67263434731754,87.85530955108806,136.08348994481747,390.41059786530195
1,1,11,22.938055866091833,143.34781552082603,85.47436127994109,98.01098543842856,349.7712181052875
1,1,12,15.01048855775623,122.23005414449696,75.68762144157576,59.03245030201734,271.9606144458463
1,1,13,26.689642890487107,171.6990256951248,61.63094696924061,79.46010408729552,339.47971964214804
1,1,14,10.985967965717961,135.79581975510956,50.98398761651959,74.15021630951654,271.91599164686363
1,1,15,37.02128347366346,168.1560949898936,90.97956983630027,75.06858324491088,371.2255315447682
1,1,16,33.55214010965762,169.47937059492668,89.18831688018037,94.56599480363903,386.78582238840363
1,1,17,33.51685861775262,159.30545918105759,70.83065207884898,112.88566754611155,376.53863742377075
1,1,18,89.64041311959556,175.36594758598724,62.89031645860914,294.38807132158854,622.2847484857805
1,1,19,80.18499193829463,76.60480734824401,65.6711189778141,339.30563427382657,561.7665525381793
1,1,20,94.65587506739301,69.27792530756844,55.950678027497375,214.63119786431008,434.5156762667689
1,1,21,89.57249740678787,93.45747598719862,46.47702667106413,307.0482280812566,536.5552281463072
1,1,22,66.3914933541621,63.357876152510286,60.23498215993236,308.05019418209804,498.0345458487028
1,1,23,87.40111572466199,84.71265022649622,17.640021060903074,336.76760872639505,526.5213957384564
1,1,24,14.60383494758069,86.03300711693682,14.07854442264259,60.865276796069644,175.58066328322974
1,2,1,7.300380843379584,87.03288969239864,6.880957266539516,445.38791665208623,546.602144454404
1,2,2,11.066622319505392,61.21937032177928,11.157894257867802,437.7799055609666,521.2237924601191
1,2,3,14.056024772349463,77.32611332965324,15.937666180065307,425.9248823258065,533.2446866078745
1,2,4,10.242908496810177,97.03365129896824,15.84954083052503,401.2759207975288,524.4020214238323
1,2,5,7.647649394840488,66.12445610496032,5.436369535608745,429.49007725246446,508.698552287874
1,2,6,10.084852070103654,149.35807812613092,1.4105805598706112,575.1856753949813,736.0391861510866
1,2,7,15.666866105054414,159.97982502669936,10.585786293892331,62.98119311044342,249.21367053608955
1,2,8,23.323757254093557,142.1221415542106,9.606335935371623,114.57269447113745,289.6249292148132
1,2,9,18.147374242780355,145.37062582824208,2.853774699643612,74.89317800366673,241.2649527743328
1,2,10,18.47398692360638,153.7333783242801,77.26423601689137,101.35451237822662,350.8261136430045
1,2,11,24.285724285128715,140.4008970456772,78.50299077616495,105.60939747783723,348.7990095848081
1,2,12,34.731336295662075,141.81332584160083,65.3972059563645,122.35627352100327,364.29814161463065
1,2,13,21.288125087808915,154.37001582206227,77.13658805449731,128.2965538154923,381.09128277986076
1,2,14,21.497306329925564,156.9041022580493,72.09908163707826,84.95675503638435,335.4572452614375
